company_name,ticker,sector,period_end,net_income,operating_margin,net_profit_margin
Amazon.com Inc.,AMZN,Consumer Discretionary,2018-12-31,10073000000.0,0.053334879147397665,0.04325273630559026
Amazon.com Inc.,AMZN,Consumer Discretionary,2019-12-31,11588000000.0,0.05183550666257905,0.04130870306072251
Amazon.com Inc.,AMZN,Consumer Discretionary,2020-12-31,21331000000.0,0.05931399975133657,0.05525249699531684
Meta Platforms Inc.,META,Technology,2016-12-31,10217000000.0,0.4496345611115131,0.36967219046240685
Meta Platforms Inc.,META,Technology,2017-12-31,15934000000.0,0.4969620938184144,0.39195139350109465
Meta Platforms Inc.,META,Technology,2018-12-31,22112000000.0,0.4461656936136681,0.39600272216053584
Meta Platforms Inc.,META,Technology,2019-12-31,18485000000.0,0.3392788944368219,0.2614679547929898
Meta Platforms Inc.,META,Technology,2020-12-31,29146000000.0,0.3800500203571221,0.3390449601582039
Alphabet Inc.,GOOGL,Technology,2016-12-31,19478000000.0,0.26271712158808935,0.2157701169797944
Alphabet Inc.,GOOGL,Technology,2017-12-31,12662000000.0,0.23614631726128726,0.11422128005051645
Alphabet Inc.,GOOGL,Technology,2020-12-31,40269000000.0,0.22585151785763202,0.22061941520980458
Tesla Inc.,TSLA,Consumer Discretionary,2021-12-31,5519000000.0,0.12119354179440016,0.10253980640246735
Tesla Inc.,TSLA,Consumer Discretionary,2022-12-31,12556000000.0,0.16763644398615304,0.15413321548697553
Tesla Inc.,TSLA,Consumer Discretionary,2023-12-31,14997000000.0,0.0918747997891974,0.15497091130790613
Tesla Inc.,TSLA,Consumer Discretionary,2024-12-31,7091000000.0,0.07243320708363189,0.07258675401781145
Tesla Inc.,TSLA,Consumer Discretionary,2025-12-31,3794000000.0,0.04592573845001951,0.04000970187815706
Oracle Corporation,ORCL,Technology,2017-05-31,9452000000.0,0.3416860711261643,0.25010584250635054
Oracle Corporation,ORCL,Technology,2018-05-31,3587000000.0,0.33679506386004116,0.09107990757433411
Oracle Corporation,ORCL,Technology,2019-05-31,11083000000.0,0.3426061864020655,0.28053966486103377
Oracle Corporation,ORCL,Technology,2020-05-31,10135000000.0,0.355687519197297,0.25941947373809765
Oracle Corporation,ORCL,Technology,2021-05-31,13746000000.0,0.3758245015934188,0.3395834877343808
Oracle Corporation,ORCL,Technology,2022-05-31,6717000000.0,0.2574458058435438,0.15827049952874647
Oracle Corporation,ORCL,Technology,2023-05-31,8503000000.0,0.262101133042399,0.17021659927132962
Oracle Corporation,ORCL,Technology,2024-05-31,10467000000.0,0.2898925624516153,0.19763599629916354
Oracle Corporation,ORCL,Technology,2025-05-31,12443000000.0,0.30798445965957594,0.21678078015296434
Oracle Corporation,ORCL,Technology,2026-05-31,17087000000.0,0.30592217586887777,0.2536781626260077
Salesforce Inc.,CRM,Technology,2017-01-31,323000000.0,0.02583856821144957,0.03828375014815693
Salesforce Inc.,CRM,Technology,2018-01-31,360000000.0,0.043074003795066415,0.03415559772296015
Salesforce Inc.,CRM,Technology,2020-01-31,126000000.0,0.017370452684524505,0.007369282957071003
Salesforce Inc.,CRM,Technology,2021-01-31,4072000000.0,0.021409749670619236,0.19160549595332205
Advanced Micro Devices Inc.,AMD,Technology,2016-12-31,-498000000.0,-0.08636258393146562,-0.11530446862699699
Advanced Micro Devices Inc.,AMD,Technology,2017-12-30,-33000000.0,0.024176660955644393,-0.006282124500285551
Advanced Micro Devices Inc.,AMD,Technology,2018-12-29,337000000.0,0.06965250965250966,0.05204633204633204
Advanced Micro Devices Inc.,AMD,Technology,2019-12-28,341000000.0,0.09374535730203536,0.05066112019016491
Advanced Micro Devices Inc.,AMD,Technology,2020-12-26,2490000000.0,0.14022329202089523,0.25504455597664655
Advanced Micro Devices Inc.,AMD,Technology,2021-12-25,3162000000.0,0.22197882438846295,0.1924059875867105
Advanced Micro Devices Inc.,AMD,Technology,2022-12-31,1320000000.0,0.05355705266725986,0.055929833481632135
Advanced Micro Devices Inc.,AMD,Technology,2023-12-30,854000000.0,0.017680776014109348,0.037654320987654324
Advanced Micro Devices Inc.,AMD,Technology,2024-12-28,1641000000.0,0.0736862516967229,0.06364165212332752
Advanced Micro Devices Inc.,AMD,Technology,2025-12-27,4335000000.0,0.10664280146655504,0.12514795461762754
Intel Corporation,INTC,Technology,2016-12-31,10316000000.0,0.2211426743226632,0.17370805058346103
Intel Corporation,INTC,Technology,2017-12-30,9601000000.0,0.2875989866318255,0.15297716734914996
Intel Corporation,INTC,Technology,2018-12-29,21053000000.0,0.3290989159891599,0.2971572944896116
Intel Corporation,INTC,Technology,2019-12-28,21048000000.0,0.3061905092753422,0.2924755089279511
Intel Corporation,INTC,Technology,2020-12-26,20899000000.0,0.30408260238611995,0.26839354283586114
Intel Corporation,INTC,Technology,2021-12-25,19868000000.0,0.2462036849564689,0.2514172909495849
Intel Corporation,INTC,Technology,2022-12-31,8014000000.0,0.03701589114092683,0.1270974085704317
Intel Corporation,INTC,Technology,2023-12-30,1689000000.0,0.001714981190528878,0.031146271298959947
Intel Corporation,INTC,Technology,2024-12-28,-18756000000.0,-0.2199205288036007,-0.35321368712453627
Intel Corporation,INTC,Technology,2025-12-27,-267000000.0,-0.04188976973870925,-0.005051747299112633
Cisco Systems Inc.,CSCO,Technology,2017-07-29,9609000000.0,0.24941151963337152,0.2001666493073638
Cisco Systems Inc.,CSCO,Technology,2018-07-28,110000000.0,0.24952361646057167,0.0022298803973241437
Cisco Systems Inc.,CSCO,Technology,2019-07-27,11621000000.0,0.27394805795314425,0.22389411220715166
Cisco Systems Inc.,CSCO,Technology,2020-07-25,11214000000.0,0.27626214478408145,0.22745988925173932
Cisco Systems Inc.,CSCO,Technology,2021-07-31,10591000000.0,0.25759765546589586,0.21259384158336345
Cisco Systems Inc.,CSCO,Technology,2022-07-30,11812000000.0,0.2709428399635355,0.22910565005721822
Cisco Systems Inc.,CSCO,Technology,2023-07-29,12613000000.0,0.26371100740376857,0.2212884662619741
Cisco Systems Inc.,CSCO,Technology,2024-07-27,10320000000.0,0.22640001486905934,0.1918108655651172
Cisco Systems Inc.,CSCO,Technology,2025-07-26,10180000000.0,0.20757581106364953,0.17968722420305716
Visa Inc.,V,Financial Services,2019-09-30,12080000000.0,0.6528702615659138,0.5257431344387866
Visa Inc.,V,Financial Services,2020-09-30,10866000000.0,0.6445573560377186,0.49739082669596263
Visa Inc.,V,Financial Services,2021-09-30,12311000000.0,0.6556316116988177,0.5107239161999585
Visa Inc.,V,Financial Services,2022-09-30,14957000000.0,0.6418628454452405,0.5103036506311839
Visa Inc.,V,Financial Services,2023-09-30,17273000000.0,0.6431262058616359,0.5289866168499066
Visa Inc.,V,Financial Services,2024-09-30,19743000000.0,0.6567666870789957,0.5495462895952792
Visa Inc.,V,Financial Services,2025-09-30,20058000000.0,0.59985,0.50145
BlackRock Inc.,BLK,Financial Services,2016-12-31,3168000000.0,0.37231873419786315,0.2583802299975532
BlackRock Inc.,BLK,Financial Services,2017-12-31,4952000000.0,0.38632352941176473,0.36411764705882355
BlackRock Inc.,BLK,Financial Services,2018-12-31,4305000000.0,0.38434990843780814,0.30321171996055785
BlackRock Inc.,BLK,Financial Services,2019-12-31,4476000000.0,0.3818006740491093,0.30786161359103104
BlackRock Inc.,BLK,Financial Services,2020-12-31,4932000000.0,0.35143474236346806,0.30435050910212896
BlackRock Inc.,BLK,Financial Services,2021-12-31,5901000000.0,0.3845359760503768,0.3045834623722515
BlackRock Inc.,BLK,Financial Services,2022-12-31,5178000000.0,0.3572427684216416,0.2897107368656633
BlackRock Inc.,BLK,Financial Services,2023-12-31,5502000000.0,0.35136345820034715,0.30807995968419283
AbbVie Inc.,ABBV,Healthcare,2016-12-31,5953000000.0,0.3643029877525548,0.23219439893907481
AbbVie Inc.,ABBV,Healthcare,2017-12-31,5309000000.0,0.338283243549759,0.1881556563651829
AbbVie Inc.,ABBV,Healthcare,2018-12-31,5687000000.0,0.1948829114890239,0.17363294965346684
AbbVie Inc.,ABBV,Healthcare,2019-12-31,7882000000.0,0.3902783622918295,0.23693861600432875
AbbVie Inc.,ABBV,Healthcare,2020-12-31,4616000000.0,0.24807877041306436,0.10077722469653305
AbbVie Inc.,ABBV,Healthcare,2021-12-31,11542000000.0,0.31894941011086003,0.2053846290727263
AbbVie Inc.,ABBV,Healthcare,2022-12-31,11836000000.0,0.31207151961966445,0.20387914700106796
AbbVie Inc.,ABBV,Healthcare,2023-12-31,4863000000.0,0.23485768990021724,0.0895283331492323
AbbVie Inc.,ABBV,Healthcare,2024-12-31,4278000000.0,0.16219334682429792,0.0759399297049739
AbbVie Inc.,ABBV,Healthcare,2025-12-31,4226000000.0,0.24648463047743624,0.06909744931327665
Amgen Inc.,AMGN,Healthcare,2019-12-31,7842000000.0,0.4140912593099906,0.3356733156407842
Amgen Inc.,AMGN,Healthcare,2020-12-31,7264000000.0,0.35946349905601005,0.2857142857142857
Gilead Sciences Inc.,GILD,Healthcare,2016-12-31,13501000000.0,0.5802237578150707,0.4442579795985522
Gilead Sciences Inc.,GILD,Healthcare,2017-12-31,4628000000.0,0.5410043283410579,0.17727046386026737
Gilead Sciences Inc.,GILD,Healthcare,2020-12-31,123000000.0,0.1648912471140994,0.004981975778686865
Gilead Sciences Inc.,GILD,Healthcare,2021-12-31,6225000000.0,0.36323017762314597,0.22798022340230728
Gilead Sciences Inc.,GILD,Healthcare,2022-12-31,4592000000.0,0.2686851654997984,0.1683222755764085
Gilead Sciences Inc.,GILD,Healthcare,2023-12-31,5665000000.0,0.2804617200177017,0.20891724443133206
Gilead Sciences Inc.,GILD,Healthcare,2024-12-31,480000000.0,0.05780065382207693,0.01669332962370453
Gilead Sciences Inc.,GILD,Healthcare,2025-12-31,8510000000.0,0.34038650952688243,0.28903304690418774
Walmart Inc.,WMT,Consumer Staples,2017-01-31,13643000000.0,0.04729523370252869,0.028345144675961997
Walmart Inc.,WMT,Consumer Staples,2018-01-31,9862000000.0,0.041223492771718634,0.01989264988573123
Walmart Inc.,WMT,Consumer Staples,2019-01-31,6670000000.0,0.0430251857135299,0.013069999941214393
Walmart Inc.,WMT,Consumer Staples,2020-01-31,14881000000.0,0.039559475771552104,0.028621380734950744
Walmart Inc.,WMT,Consumer Staples,2021-01-31,13510000000.0,0.040609978153315816,0.024332127233071522
Costco Wholesale Corporation,COST,Consumer Staples,2016-08-28,2350000000.0,0.030930179667955426,0.019794641127367986
Costco Wholesale Corporation,COST,Consumer Staples,2017-09-03,2679000000.0,0.031862042239875994,0.020763417942259253
Costco Wholesale Corporation,COST,Consumer Staples,2018-09-02,3134000000.0,0.03164378143188111,0.022136520314177545
Costco Wholesale Corporation,COST,Consumer Staples,2019-09-01,3659000000.0,0.031021001552032378,0.023961546269555937
Costco Wholesale Corporation,COST,Consumer Staples,2020-08-30,4002000000.0,0.03259155318089961,0.023998416896036844
Costco Wholesale Corporation,COST,Consumer Staples,2021-08-29,5007000000.0,0.034236891935343926,0.025555175599324246
Costco Wholesale Corporation,COST,Consumer Staples,2022-08-28,5844000000.0,0.03433735470624003,0.025749711395260715
Costco Wholesale Corporation,COST,Consumer Staples,2023-09-03,6292000000.0,0.033488794419910026,0.025968880267448098
Costco Wholesale Corporation,COST,Consumer Staples,2024-09-01,7367000000.0,0.036490039417888566,0.028952301603832536
Costco Wholesale Corporation,COST,Consumer Staples,2025-08-31,8099000000.0,0.03772412665540356,0.029425763438516175
Honeywell International Inc.,HON,Industrials,2017-06-30,229561000.0,0.24614237659278682,0.16535522117136908
Honeywell International Inc.,HON,Industrials,2018-06-30,365034000.0,0.2430675341328545,0.24818788724752633
Honeywell International Inc.,HON,Industrials,2019-06-30,271885000.0,0.223666524762493,0.17510567137955974
Honeywell International Inc.,HON,Industrials,2020-06-30,296668000.0,0.22428519321865312,0.17481219067956658
Honeywell International Inc.,HON,Industrials,2021-06-30,311469000.0,0.2267735926858053,0.17714968220790855
Honeywell International Inc.,HON,Industrials,2022-06-30,362916000.0,0.24428581428433196,0.1867924178695177
Honeywell International Inc.,HON,Industrials,2023-06-30,366646000.0,0.23135560345035044,0.17646707756935306
Honeywell International Inc.,HON,Industrials,2024-06-30,381816000.0,0.22088986763064405,0.17233517923145703
Honeywell International Inc.,HON,Industrials,2025-06-30,455748000.0,0.23942991334103486,0.19187062789859588
The Boeing Company,BA,Industrial,2017-12-31,8458000000.0,0.11003670017552258,0.08997393755651295
United Parcel Service Inc.,UPS,Industrial,2016-12-31,3422000000.0,0.12478493751014445,0.05554293134231456
United Parcel Service Inc.,UPS,Industrial,2017-12-31,4905000000.0,0.11307351505594353,0.07366523991890066
United Parcel Service Inc.,UPS,Industrial,2018-12-31,4791000000.0,0.09774425627252613,0.0666703775344067
United Parcel Service Inc.,UPS,Industrial,2019-12-31,4440000000.0,0.10524468917861095,0.059923880476151915
United Parcel Service Inc.,UPS,Industrial,2020-12-31,1343000000.0,0.09079737202817034,0.015869452190764285
United Parcel Service Inc.,UPS,Industrial,2021-12-31,12890000000.0,0.13167226864843196,0.13249457789838315
United Parcel Service Inc.,UPS,Industrial,2022-12-31,11548000000.0,0.13049891367178934,0.1150909924455341
United Parcel Service Inc.,UPS,Industrial,2023-12-31,6708000000.0,0.10049693265023417,0.07374832340200972
United Parcel Service Inc.,UPS,Industrial,2024-12-31,5782000000.0,0.09298341934775448,0.06348962336664105
United Parcel Service Inc.,UPS,Industrial,2025-12-31,5572000000.0,0.08873123470296974,0.06284612174462277
3M Company,MMM,Industrial,2016-12-31,5050000000.0,0.23338536650171046,0.16772393636454216
3M Company,MMM,Industrial,2018-12-31,5349000000.0,0.21996032351594688,0.16325347169235466
3M Company,MMM,Industrial,2020-12-31,5449000000.0,0.22250186428038776,0.16930773054934128
3M Company,MMM,Industrial,2022-12-31,5777000000.0,0.1670043194067505,0.22082489201483124
3M Company,MMM,Industrial,2025-12-31,3250000000.0,0.18554593554593554,0.13027096360429694
