company_name,ticker,sector,period_end,operating_cash_flow
Alphabet Inc.,GOOGL,Technology,2019-12-31,54520000000.0
Alphabet Inc.,GOOGL,Technology,2020-12-31,65124000000.0
Alphabet Inc.,GOOGL,Technology,2021-12-31,91652000000.0
Alphabet Inc.,GOOGL,Technology,2022-12-31,91495000000.0
Alphabet Inc.,GOOGL,Technology,2023-12-31,101746000000.0
Alphabet Inc.,GOOGL,Technology,2024-12-31,125299000000.0
Alphabet Inc.,GOOGL,Technology,2025-12-31,164713000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2010-12-31,-127817000.0
Tesla Inc.,TSLA,Consumer Discretionary,2011-12-31,-128034000.0
Tesla Inc.,TSLA,Consumer Discretionary,2016-12-31,-123829000.0
Tesla Inc.,TSLA,Consumer Discretionary,2017-12-31,-61000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2018-12-31,2098000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2019-12-31,2405000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2020-12-31,5943000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2021-12-31,11497000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2022-12-31,14724000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2023-12-31,13256000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2024-12-31,14923000000.0
Tesla Inc.,TSLA,Consumer Discretionary,2025-12-31,14747000000.0
Oracle Corporation,ORCL,Technology,2008-05-31,7402000000.0
Oracle Corporation,ORCL,Technology,2009-05-31,8255000000.0
Oracle Corporation,ORCL,Technology,2010-05-31,8681000000.0
Oracle Corporation,ORCL,Technology,2011-05-31,11214000000.0
Oracle Corporation,ORCL,Technology,2016-05-31,13685000000.0
Oracle Corporation,ORCL,Technology,2017-05-31,14126000000.0
Oracle Corporation,ORCL,Technology,2018-05-31,15386000000.0
Oracle Corporation,ORCL,Technology,2019-05-31,14551000000.0
Oracle Corporation,ORCL,Technology,2020-05-31,13139000000.0
Oracle Corporation,ORCL,Technology,2021-05-31,15887000000.0
Oracle Corporation,ORCL,Technology,2022-05-31,9539000000.0
Oracle Corporation,ORCL,Technology,2023-05-31,17165000000.0
Oracle Corporation,ORCL,Technology,2024-05-31,18673000000.0
Oracle Corporation,ORCL,Technology,2025-05-31,20821000000.0
Oracle Corporation,ORCL,Technology,2026-05-31,31977000000.0
Adobe Inc.,ADBE,Technology,2007-11-30,1441053000.0
Adobe Inc.,ADBE,Technology,2008-11-28,1280682000.0
Adobe Inc.,ADBE,Technology,2009-11-27,1117794000.0
Adobe Inc.,ADBE,Technology,2010-12-03,1112995000.0
Adobe Inc.,ADBE,Technology,2011-12-02,1543314000.0
Adobe Inc.,ADBE,Technology,2012-11-30,1499580000.0
Adobe Inc.,ADBE,Technology,2013-11-29,1151686000.0
Adobe Inc.,ADBE,Technology,2014-11-28,1287482000.0
Adobe Inc.,ADBE,Technology,2015-11-27,1469502000.0
Adobe Inc.,ADBE,Technology,2016-12-02,2199728000.0
Adobe Inc.,ADBE,Technology,2017-12-01,2912853000.0
Adobe Inc.,ADBE,Technology,2018-11-30,4029000000.0
Adobe Inc.,ADBE,Technology,2019-11-29,4422000000.0
Adobe Inc.,ADBE,Technology,2020-11-27,5727000000.0
Adobe Inc.,ADBE,Technology,2021-12-03,7230000000.0
Adobe Inc.,ADBE,Technology,2022-12-02,7838000000.0
Adobe Inc.,ADBE,Technology,2023-12-01,7302000000.0
Adobe Inc.,ADBE,Technology,2024-11-29,8056000000.0
Adobe Inc.,ADBE,Technology,2025-11-28,10031000000.0
Salesforce Inc.,CRM,Technology,2008-01-31,204275000.0
Salesforce Inc.,CRM,Technology,2009-01-31,229557000.0
Salesforce Inc.,CRM,Technology,2010-01-31,270911000.0
Salesforce Inc.,CRM,Technology,2011-01-31,459081000.0
Salesforce Inc.,CRM,Technology,2012-01-31,591507000.0
Salesforce Inc.,CRM,Technology,2013-01-31,736897000.0
Salesforce Inc.,CRM,Technology,2015-01-31,1181444000.0
Salesforce Inc.,CRM,Technology,2016-01-31,1672081000.0
Salesforce Inc.,CRM,Technology,2017-01-31,2162000000.0
Salesforce Inc.,CRM,Technology,2018-01-31,2738000000.0
Salesforce Inc.,CRM,Technology,2019-01-31,3398000000.0
Salesforce Inc.,CRM,Technology,2020-01-31,4331000000.0
Salesforce Inc.,CRM,Technology,2021-01-31,4801000000.0
Salesforce Inc.,CRM,Technology,2022-01-31,6000000000.0
Salesforce Inc.,CRM,Technology,2023-01-31,7111000000.0
Salesforce Inc.,CRM,Technology,2024-01-31,10234000000.0
Salesforce Inc.,CRM,Technology,2025-01-31,13092000000.0
Salesforce Inc.,CRM,Technology,2026-01-31,14996000000.0
Advanced Micro Devices Inc.,AMD,Technology,2008-12-27,-692000000.0
Advanced Micro Devices Inc.,AMD,Technology,2009-12-26,473000000.0
Advanced Micro Devices Inc.,AMD,Technology,2010-12-25,-412000000.0
Advanced Micro Devices Inc.,AMD,Technology,2011-12-31,382000000.0
Advanced Micro Devices Inc.,AMD,Technology,2012-12-29,-338000000.0
Advanced Micro Devices Inc.,AMD,Technology,2013-12-28,-148000000.0
Advanced Micro Devices Inc.,AMD,Technology,2014-12-27,-98000000.0
Advanced Micro Devices Inc.,AMD,Technology,2015-12-26,-226000000.0
Advanced Micro Devices Inc.,AMD,Technology,2016-12-31,81000000.0
Advanced Micro Devices Inc.,AMD,Technology,2017-12-30,12000000.0
Advanced Micro Devices Inc.,AMD,Technology,2018-12-29,34000000.0
Advanced Micro Devices Inc.,AMD,Technology,2019-12-28,493000000.0
Advanced Micro Devices Inc.,AMD,Technology,2020-12-26,1071000000.0
Advanced Micro Devices Inc.,AMD,Technology,2021-12-25,3521000000.0
Advanced Micro Devices Inc.,AMD,Technology,2022-12-31,3565000000.0
Advanced Micro Devices Inc.,AMD,Technology,2023-12-30,1667000000.0
Advanced Micro Devices Inc.,AMD,Technology,2024-12-28,3041000000.0
Advanced Micro Devices Inc.,AMD,Technology,2025-12-27,7709000000.0
Intel Corporation,INTC,Technology,2007-12-29,12625000000.0
Intel Corporation,INTC,Technology,2008-12-27,10926000000.0
Intel Corporation,INTC,Technology,2009-12-26,11170000000.0
Intel Corporation,INTC,Technology,2010-12-25,16692000000.0
Intel Corporation,INTC,Technology,2017-12-30,22110000000.0
Intel Corporation,INTC,Technology,2018-12-29,29432000000.0
Intel Corporation,INTC,Technology,2019-12-28,33145000000.0
Intel Corporation,INTC,Technology,2020-12-26,35864000000.0
Intel Corporation,INTC,Technology,2021-12-25,29456000000.0
Intel Corporation,INTC,Technology,2022-12-31,15433000000.0
Intel Corporation,INTC,Technology,2023-12-30,11471000000.0
Intel Corporation,INTC,Technology,2024-12-28,8288000000.0
Intel Corporation,INTC,Technology,2025-12-27,9697000000.0
Cisco Systems Inc.,CSCO,Technology,2009-07-25,9897000000.0
Cisco Systems Inc.,CSCO,Technology,2010-07-31,10173000000.0
Cisco Systems Inc.,CSCO,Technology,2011-07-30,10079000000.0
Cisco Systems Inc.,CSCO,Technology,2016-07-30,13570000000.0
Cisco Systems Inc.,CSCO,Technology,2017-07-29,13876000000.0
Cisco Systems Inc.,CSCO,Technology,2018-07-28,13666000000.0
Cisco Systems Inc.,CSCO,Technology,2019-07-27,15831000000.0
Cisco Systems Inc.,CSCO,Technology,2020-07-25,15426000000.0
Cisco Systems Inc.,CSCO,Technology,2021-07-31,15454000000.0
Cisco Systems Inc.,CSCO,Technology,2022-07-30,13226000000.0
Cisco Systems Inc.,CSCO,Technology,2023-07-29,19886000000.0
Cisco Systems Inc.,CSCO,Technology,2024-07-27,10880000000.0
Cisco Systems Inc.,CSCO,Technology,2025-07-26,14193000000.0
International Business Machines Corporation,IBM,Technology,2008-12-31,18812000000.0
International Business Machines Corporation,IBM,Technology,2014-12-31,16868000000.0
International Business Machines Corporation,IBM,Technology,2015-12-31,17255000000.0
International Business Machines Corporation,IBM,Technology,2016-12-31,17084000000.0
International Business Machines Corporation,IBM,Technology,2017-12-31,16724000000.0
International Business Machines Corporation,IBM,Technology,2018-12-31,15247000000.0
International Business Machines Corporation,IBM,Technology,2019-12-31,14770000000.0
International Business Machines Corporation,IBM,Technology,2020-12-31,18197000000.0
International Business Machines Corporation,IBM,Technology,2021-12-31,12796000000.0
International Business Machines Corporation,IBM,Technology,2022-12-31,10435000000.0
International Business Machines Corporation,IBM,Technology,2023-12-31,13931000000.0
International Business Machines Corporation,IBM,Technology,2024-12-31,13445000000.0
International Business Machines Corporation,IBM,Technology,2025-12-31,13193000000.0
Qualcomm Incorporated,QCOM,Technology,2008-09-28,3558000000.0
Qualcomm Incorporated,QCOM,Technology,2009-09-27,7172000000.0
Qualcomm Incorporated,QCOM,Technology,2010-09-26,4076000000.0
Qualcomm Incorporated,QCOM,Technology,2011-09-25,4900000000.0
Qualcomm Incorporated,QCOM,Technology,2012-09-30,5998000000.0
Qualcomm Incorporated,QCOM,Technology,2013-09-29,8778000000.0
Qualcomm Incorporated,QCOM,Technology,2014-09-28,8887000000.0
Qualcomm Incorporated,QCOM,Technology,2015-09-27,5506000000.0
Qualcomm Incorporated,QCOM,Technology,2016-09-25,7632000000.0
Qualcomm Incorporated,QCOM,Technology,2017-09-24,5001000000.0
Qualcomm Incorporated,QCOM,Technology,2018-09-30,3908000000.0
Qualcomm Incorporated,QCOM,Technology,2019-09-29,7286000000.0
Qualcomm Incorporated,QCOM,Technology,2020-09-27,5814000000.0
Qualcomm Incorporated,QCOM,Technology,2021-09-26,10536000000.0
Qualcomm Incorporated,QCOM,Technology,2022-09-25,9096000000.0
Qualcomm Incorporated,QCOM,Technology,2023-09-24,11299000000.0
Qualcomm Incorporated,QCOM,Technology,2024-09-29,12202000000.0
Qualcomm Incorporated,QCOM,Technology,2025-09-28,14012000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2007-12-31,-110560000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2009-12-31,122797000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2010-12-31,-3752000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2011-12-31,95932000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2012-12-31,25079000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2013-12-31,107953000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2014-12-31,36593000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2015-12-31,73466000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2016-12-31,21884000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2017-12-31,-10827000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2018-12-31,15614000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2019-12-31,4092000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2020-12-31,-79910000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2021-12-31,78084000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2022-12-31,107119000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2023-12-31,12974000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2024-12-31,-42012000000.0
JPMorgan Chase & Co.,JPM,Financial Services,2025-12-31,-147782000000.0
Bank of America Corporation,BAC,Financial Services,2007-12-31,11036000000.0
Bank of America Corporation,BAC,Financial Services,2008-12-31,4034000000.0
Bank of America Corporation,BAC,Financial Services,2010-12-31,82541000000.0
Bank of America Corporation,BAC,Financial Services,2011-12-31,64448000000.0
Bank of America Corporation,BAC,Financial Services,2016-12-31,17277000000.0
Bank of America Corporation,BAC,Financial Services,2017-12-31,9864000000.0
Bank of America Corporation,BAC,Financial Services,2018-12-31,39520000000.0
Bank of America Corporation,BAC,Financial Services,2019-12-31,61777000000.0
Bank of America Corporation,BAC,Financial Services,2020-12-31,37993000000.0
Bank of America Corporation,BAC,Financial Services,2021-12-31,-7193000000.0
Bank of America Corporation,BAC,Financial Services,2022-12-31,-6327000000.0
Bank of America Corporation,BAC,Financial Services,2023-12-31,44982000000.0
Bank of America Corporation,BAC,Financial Services,2024-12-31,-8805000000.0
Bank of America Corporation,BAC,Financial Services,2025-12-31,12613000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2016-12-31,6494000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2017-12-31,-20489000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2018-12-31,16564000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2019-12-31,23868000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2020-12-31,-18535000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2021-12-31,6298000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2022-12-31,8708000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2023-12-31,-12587000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2024-12-31,-13212000000.0
Goldman Sachs Group Inc.,GS,Financial Services,2025-12-31,-45154000000.0
Morgan Stanley,MS,Financial Services,2007-11-30,-22249000000.0
Morgan Stanley,MS,Financial Services,2008-11-30,73417000000.0
Morgan Stanley,MS,Financial Services,2009-12-31,-45951000000.0
Morgan Stanley,MS,Financial Services,2010-12-31,40614000000.0
Morgan Stanley,MS,Financial Services,2015-12-31,-4463000000.0
Morgan Stanley,MS,Financial Services,2016-12-31,5383000000.0
Morgan Stanley,MS,Financial Services,2017-12-31,-4505000000.0
Morgan Stanley,MS,Financial Services,2018-12-31,7305000000.0
Morgan Stanley,MS,Financial Services,2019-12-31,40773000000.0
Morgan Stanley,MS,Financial Services,2020-12-31,-25231000000.0
Morgan Stanley,MS,Financial Services,2021-12-31,33971000000.0
Morgan Stanley,MS,Financial Services,2022-12-31,-6397000000.0
Morgan Stanley,MS,Financial Services,2023-12-31,-33536000000.0
Morgan Stanley,MS,Financial Services,2024-12-31,1362000000.0
Morgan Stanley,MS,Financial Services,2025-12-31,-17889000000.0
Visa Inc.,V,Financial Services,2007-09-30,505000000.0
Visa Inc.,V,Financial Services,2008-09-30,531000000.0
Visa Inc.,V,Financial Services,2009-09-30,558000000.0
Visa Inc.,V,Financial Services,2010-09-30,2691000000.0
Visa Inc.,V,Financial Services,2011-09-30,3872000000.0
Visa Inc.,V,Financial Services,2012-09-30,5009000000.0
Visa Inc.,V,Financial Services,2013-09-30,3022000000.0
Visa Inc.,V,Financial Services,2014-09-30,7205000000.0
Visa Inc.,V,Financial Services,2015-09-30,6584000000.0
Visa Inc.,V,Financial Services,2016-09-30,5574000000.0
Visa Inc.,V,Financial Services,2017-09-30,9317000000.0
Visa Inc.,V,Financial Services,2018-09-30,12941000000.0
Visa Inc.,V,Financial Services,2019-09-30,12784000000.0
Visa Inc.,V,Financial Services,2020-09-30,10440000000.0
Visa Inc.,V,Financial Services,2021-09-30,15227000000.0
Visa Inc.,V,Financial Services,2022-09-30,18849000000.0
Visa Inc.,V,Financial Services,2023-09-30,20755000000.0
Visa Inc.,V,Financial Services,2024-09-30,19950000000.0
Visa Inc.,V,Financial Services,2025-09-30,23059000000.0
Mastercard Incorporated,MA,Financial Services,2007-12-31,769861000.0
Mastercard Incorporated,MA,Financial Services,2008-12-31,413000000.0
Mastercard Incorporated,MA,Financial Services,2009-12-31,1378000000.0
Mastercard Incorporated,MA,Financial Services,2010-12-31,1697000000.0
Mastercard Incorporated,MA,Financial Services,2011-12-31,2684000000.0
Mastercard Incorporated,MA,Financial Services,2012-12-31,2948000000.0
Mastercard Incorporated,MA,Financial Services,2014-12-31,3407000000.0
Mastercard Incorporated,MA,Financial Services,2017-12-31,5664000000.0
Mastercard Incorporated,MA,Financial Services,2018-12-31,6223000000.0
Mastercard Incorporated,MA,Financial Services,2019-12-31,8183000000.0
Mastercard Incorporated,MA,Financial Services,2020-12-31,7224000000.0
Mastercard Incorporated,MA,Financial Services,2021-12-31,9463000000.0
Mastercard Incorporated,MA,Financial Services,2022-12-31,11195000000.0
Mastercard Incorporated,MA,Financial Services,2023-12-31,11980000000.0
Mastercard Incorporated,MA,Financial Services,2024-12-31,14780000000.0
Mastercard Incorporated,MA,Financial Services,2025-12-31,17648000000.0
Citigroup Inc.,C,Financial Services,2018-12-31,36952000000.0
Citigroup Inc.,C,Financial Services,2020-12-31,-23488000000.0
Citigroup Inc.,C,Financial Services,2021-12-31,47090000000.0
Citigroup Inc.,C,Financial Services,2022-12-31,25069000000.0
Citigroup Inc.,C,Financial Services,2023-12-31,-73416000000.0
Citigroup Inc.,C,Financial Services,2024-12-31,-19669000000.0
Citigroup Inc.,C,Financial Services,2025-12-31,-67632000000.0
Wells Fargo & Company,WFC,Financial Services,2007-12-31,9286000000.0
Wells Fargo & Company,WFC,Financial Services,2008-12-31,-4788000000.0
Wells Fargo & Company,WFC,Financial Services,2009-12-31,28613000000.0
Wells Fargo & Company,WFC,Financial Services,2010-12-31,18772000000.0
Wells Fargo & Company,WFC,Financial Services,2011-12-31,13665000000.0
Wells Fargo & Company,WFC,Financial Services,2012-12-31,58540000000.0
Wells Fargo & Company,WFC,Financial Services,2013-12-31,57641000000.0
Wells Fargo & Company,WFC,Financial Services,2017-12-31,18619000000.0
Wells Fargo & Company,WFC,Financial Services,2018-12-31,36073000000.0
Wells Fargo & Company,WFC,Financial Services,2019-12-31,6730000000.0
Wells Fargo & Company,WFC,Financial Services,2020-12-31,2051000000.0
Wells Fargo & Company,WFC,Financial Services,2021-12-31,-11525000000.0
Wells Fargo & Company,WFC,Financial Services,2022-12-31,27048000000.0
Wells Fargo & Company,WFC,Financial Services,2023-12-31,40358000000.0
Wells Fargo & Company,WFC,Financial Services,2024-12-31,3035000000.0
Wells Fargo & Company,WFC,Financial Services,2025-12-31,-19001000000.0
BlackRock Inc.,BLK,Financial Services,2007-12-31,587000000.0
BlackRock Inc.,BLK,Financial Services,2008-12-31,1916000000.0
BlackRock Inc.,BLK,Financial Services,2009-12-31,1399000000.0
BlackRock Inc.,BLK,Financial Services,2010-12-31,2488000000.0
BlackRock Inc.,BLK,Financial Services,2016-12-31,2273000000.0
BlackRock Inc.,BLK,Financial Services,2017-12-31,3950000000.0
BlackRock Inc.,BLK,Financial Services,2018-12-31,3075000000.0
BlackRock Inc.,BLK,Financial Services,2019-12-31,2884000000.0
BlackRock Inc.,BLK,Financial Services,2020-12-31,3743000000.0
BlackRock Inc.,BLK,Financial Services,2021-12-31,4944000000.0
BlackRock Inc.,BLK,Financial Services,2022-12-31,4956000000.0
BlackRock Inc.,BLK,Financial Services,2023-12-31,4165000000.0
American Express Company,AXP,Financial Services,2008-12-31,7773000000.0
American Express Company,AXP,Financial Services,2009-12-31,6337000000.0
American Express Company,AXP,Financial Services,2017-12-31,13540000000.0
American Express Company,AXP,Financial Services,2018-12-31,8930000000.0
American Express Company,AXP,Financial Services,2019-12-31,13632000000.0
American Express Company,AXP,Financial Services,2020-12-31,5591000000.0
American Express Company,AXP,Financial Services,2021-12-31,14645000000.0
American Express Company,AXP,Financial Services,2022-12-31,21079000000.0
American Express Company,AXP,Financial Services,2023-12-31,18559000000.0
American Express Company,AXP,Financial Services,2024-12-31,14050000000.0
American Express Company,AXP,Financial Services,2025-12-31,18428000000.0
Johnson & Johnson,JNJ,Healthcare,2007-12-30,15022000000.0
Johnson & Johnson,JNJ,Healthcare,2008-12-28,14972000000.0
Johnson & Johnson,JNJ,Healthcare,2010-01-03,16571000000.0
Johnson & Johnson,JNJ,Healthcare,2011-01-02,16385000000.0
Johnson & Johnson,JNJ,Healthcare,2012-01-01,14298000000.0
Johnson & Johnson,JNJ,Healthcare,2012-12-30,15396000000.0
Johnson & Johnson,JNJ,Healthcare,2013-12-29,17414000000.0
Johnson & Johnson,JNJ,Healthcare,2014-12-28,18710000000.0
Johnson & Johnson,JNJ,Healthcare,2016-01-03,19569000000.0
Johnson & Johnson,JNJ,Healthcare,2017-01-01,18767000000.0
Johnson & Johnson,JNJ,Healthcare,2017-12-31,21056000000.0
Johnson & Johnson,JNJ,Healthcare,2018-12-30,22201000000.0
Johnson & Johnson,JNJ,Healthcare,2019-12-29,23416000000.0
Johnson & Johnson,JNJ,Healthcare,2021-01-03,23536000000.0
Johnson & Johnson,JNJ,Healthcare,2022-01-02,23410000000.0
Johnson & Johnson,JNJ,Healthcare,2023-01-01,21194000000.0
Johnson & Johnson,JNJ,Healthcare,2023-12-31,22791000000.0
Johnson & Johnson,JNJ,Healthcare,2024-12-29,24266000000.0
Johnson & Johnson,JNJ,Healthcare,2025-12-28,24530000000.0
Pfizer Inc.,PFE,Healthcare,2007-12-31,13353000000.0
Pfizer Inc.,PFE,Healthcare,2008-12-31,18238000000.0
Pfizer Inc.,PFE,Healthcare,2009-12-31,16587000000.0
Pfizer Inc.,PFE,Healthcare,2010-12-31,11454000000.0
Pfizer Inc.,PFE,Healthcare,2011-12-31,20240000000.0
Pfizer Inc.,PFE,Healthcare,2012-12-31,16746000000.0
Pfizer Inc.,PFE,Healthcare,2013-12-31,17684000000.0
Pfizer Inc.,PFE,Healthcare,2014-12-31,17084000000.0
Pfizer Inc.,PFE,Healthcare,2015-12-31,14688000000.0
Pfizer Inc.,PFE,Healthcare,2016-12-31,16192000000.0
Pfizer Inc.,PFE,Healthcare,2017-12-31,16802000000.0
Pfizer Inc.,PFE,Healthcare,2018-12-31,15827000000.0
Pfizer Inc.,PFE,Healthcare,2019-12-31,12588000000.0
Pfizer Inc.,PFE,Healthcare,2020-12-31,14403000000.0
Pfizer Inc.,PFE,Healthcare,2021-12-31,32580000000.0
Pfizer Inc.,PFE,Healthcare,2022-12-31,29267000000.0
Pfizer Inc.,PFE,Healthcare,2023-12-31,8700000000.0
Pfizer Inc.,PFE,Healthcare,2024-12-31,12744000000.0
Pfizer Inc.,PFE,Healthcare,2025-12-31,11704000000.0
Merck & Co. Inc.,MRK,Healthcare,2007-12-31,6999200000.0
Merck & Co. Inc.,MRK,Healthcare,2008-12-31,6572000000.0
Merck & Co. Inc.,MRK,Healthcare,2009-12-31,3392000000.0
